"","ibge7","municipio","X2000","X2010","long","latit"
"119",3110905,"Campanha",14.55,9.87,-45.2402,-21.501
"120",3111002,"Campestre",14.88,10.49,-46.1447,-21.424
"121",3111101,"Campina Verde",14.86,9.63,-49.2911,-19.3208
"122",3111150,"Campo Azul",34.83,27.58,-44.4838,-16.3013
"123",3111200,"Campo Belo",15.08,10.55,-45.1638,-20.535
"124",3111309,"Campo do Meio",18.46,12.55,-45.4949,-21.0624
"125",3111408,"Campo Florido",16.69,10.84,-48.342,-19.4538
"126",3111507,"Campos Altos",16.47,12.31,-46.1017,-19.4146
"127",3111606,"Campos Gerais",19.28,14.12,-45.4531,-21.1406
"128",3111705,"Canaã",26.37,18.07,-42.3711,-20.4109
"129",3111804,"Canápolis",18.95,18.09,-49.1216,-18.433
"130",3111903,"Cana Verde",20.89,14.94,-45.1055,-21.0115
"131",3112000,"Candeias",24.21,17,-45.1635,-20.4601
"132",3112059,"Cantagalo",29,20.51,-42.3737,-18.3133
"133",3112109,"Caparaó",27.75,18.36,-41.5416,-20.3123
"134",3112208,"Capela Nova",17.82,13.08,-43.3704,-20.5523
"135",3112307,"Capelinha",36.28,25.73,-42.3057,-17.4129
"136",3112406,"Capetinga",18.48,13.78,-47.0313,-20.3659
"137",3112505,"Capim Branco",13.59,7.96,-44.07,-19.3256
"138",3112604,"Capinópolis",21.09,15.42,-49.3411,-18.4055
"139",3112653,"Capitão Andrade",34.44,21.95,-41.5129,-19.0403
"140",3112703,"Capitão Enéas",35.52,24.36,-43.4238,-16.1928
"141",3112802,"Capitólio",13.41,8.63,-46.03,-20.3655
"142",3112901,"Caputira",21.59,16.37,-42.1614,-20.1019
"143",3113008,"Caraí",45.85,35.62,-41.4141,-17.112
"144",3113107,"Caranaíba",19.09,11.49,-43.4421,-20.5233
"145",3113206,"Carandaí",12.69,9.1,-43.4823,-20.5713
"146",3113305,"Carangola",16.28,12.24,-42.0146,-20.4359
"147",3113404,"Caratinga",17.84,11.88,-42.0821,-19.4723
"148",3113503,"Carbonita",35.23,24.76,-43.0057,-17.3137
"149",3113602,"Careaçu",18.57,15.96,-45.4157,-22.0235
"150",3113701,"Carlos Chagas",37.46,27.63,-40.4559,-17.4211
"151",3113800,"Carmésia",27.15,19.43,-43.083,-19.052
"152",3113909,"Carmo da Cachoeira",20.65,12.48,-45.1325,-21.2739
"153",3114006,"Carmo da Mata",15.38,10.17,-44.5214,-20.3328
"154",3114105,"Carmo de Minas",19.15,13.57,-45.0745,-22.072
"155",3114204,"Carmo do Cajuru",12.51,7.93,-44.4616,-20.1103
"156",3114303,"Carmo do Paranaíba",14.42,10.56,-46.1858,-19.0003
"157",3114402,"Carmo do Rio Claro",15.24,10.78,-46.0708,-20.5819
"158",3114501,"Carmópolis de Minas",15.29,6.54,-44.3806,-20.3229
"159",3114550,"Carneirinho",23.86,14.39,-50.4117,-19.4151
"160",3114600,"Carrancas",15.35,9.78,-44.3833,-21.2915
"161",3114709,"Carvalhópolis",12.63,9.81,-45.5028,-21.464
"162",3114808,"Carvalhos",22.66,18.47,-44.2741,-22.0004
"163",3114907,"Casa Grande",14.63,7.15,-43.5549,-20.4734
"164",3115003,"Cascalho Rico",9.7,7.83,-47.5238,-18.3435
"165",3115102,"Cássia",17.66,13.02,-46.5519,-20.3459
"166",3115300,"Cataguases",9.97,6.83,-42.4148,-21.2321
"167",3115359,"Catas Altas",18.34,7.61,-43.2427,-20.0429
"168",3115409,"Catas Altas da Noruega",22.48,17.54,-43.2951,-20.4124
"169",3115458,"Catuji",47.63,32.75,-41.3101,-17.1758
"170",3115474,"Catuti",49.93,36.77,-42.5746,-15.213
"171",3115508,"Caxambu",9.93,7.21,-44.5557,-21.5838
"172",3115607,"Cedro do Abaeté",22.33,16.97,-45.4241,-19.0854
"173",3115706,"Central de Minas",32.59,24.51,-41.1823,-18.4543
"174",3115805,"Centralina",20.98,14.62,-49.1158,-18.3502
"175",3115904,"Chácara",19.1,13.8,-43.1318,-21.402
"176",3116001,"Chalé",26.33,20.1,-41.4116,-20.0237
"177",3116100,"Chapada do Norte",48.21,35.13,-42.3207,-17.0513
"178",3116159,"Chapada Gaúcha",35.86,23.81,-45.3706,-15.182
"179",3116209,"Chiador",21.88,13.42,-43.0328,-22.0009
"180",3116308,"Cipotânea",26.61,16.22,-43.2156,-20.5419
"181",3116407,"Claraval",17.59,10,-47.16,-20.2356
"182",3116506,"Claro dos Poções",28.1,21.73,-44.1231,-17.0447
"183",3116605,"Cláudio",10.49,6.17,-44.4557,-20.2636
"184",3116704,"Coimbra",15.53,12.34,-42.481,-20.5124
"185",3116803,"Coluna",38.52,27.23,-42.5025,-18.1402
"186",3116902,"Comendador Gomes",13.51,10.23,-49.045,-19.4154
"187",3117009,"Comercinho",41.35,30.76,-41.4736,-16.1746
"188",3117108,"Conceição da Aparecida",14.66,10.94,-46.1216,-21.0539
"189",3115201,"Conceição da Barra de Minas",14.29,10.19,-44.282,-21.0744
"190",3117306,"Conceição das Alagoas",16.37,10.78,-48.2318,-19.5453
"191",3117207,"Conceição das Pedras",15.65,11.46,-45.2717,-22.0936
"192",3117405,"Conceição de Ipanema",29.74,17.98,-41.4138,-19.5541
"193",3117504,"Conceição do Mato Dentro",31.91,22.98,-43.253,-19.0214
"194",3117603,"Conceição do Pará",15.87,11.23,-44.5348,-19.4511
"195",3117702,"Conceição do Rio Verde",22.12,16.32,-45.0507,-21.5251
"196",3117801,"Conceição dos Ouros",15.4,8.58,-45.4753,-22.2447
"197",3117836,"Cônego Marinho",40.97,24.98,-44.2505,-15.1739
"198",3117876,"Confins",11.83,6.13,-43.5858,-19.3757
